,examples,hypotheses,references
276," A decision was reached that the marines would attack west at 08 : 00 on September 3 astride the Yongsan @-@ Naktong River road ; the 9th Infantry , B Company of the 72nd Tank Battalion , and D Battery of the 82d AAA Battalion would attack northwest above the marines and attempt to re @-@ establish contact with the US 23rd Infantry ; the 2nd Engineer Combat Battalion , remnants of the 1st Battalion , 9th Infantry , and elements of the 72nd Tank Battalion would attack on the left flank , or south , of the marines to reestablish contact with the 25th Division . Eighth Army now ordered the US 24th Infantry Division headquarters and the US 19th Infantry Regiment to move to the Susan @-@ ni area , 8 miles ( 13 km ) south of Miryang and 15 miles ( 24 km ) east of the confluence of the Nam River and the Naktong River . There it was to prepare to enter the battle in either the 2nd or 25th Division zone . 
","the same day ; and the 4th Engineer Battalion and 2d Engineer Division would advance west along the river to the south . On the morning of September 4 , the 3rd Engineer Brigade , which had been sent to assist in the attack , was ordered to withdraw from the area to avoid further casualties . The 3d Battalion was sent back to its original position to support the assault , but was unable to do so due to a lack of ammunition and ammunition depots at the time . By the afternoon , however , it was clear that there was no need for further reinforcements .","['the left flank , or south , of the marines to reestablish contact with the 25th Division . Eighth Army now ordered the US 24th Infantry Division headquarters and the US 19th Infantry Regiment to move to the Susan @-@ ni area , 8 miles ( 13 km ) south of Miryang and 15 miles ( 24 km ) east of the confluence of the Nam River and the Naktong River . There it was to prepare to enter the battle in either the 2nd or 25th Division zone .']"
277," The American counteroffensive of September 3 – 5 west of Yongsan , according to prisoner statements , resulted in one of the bloodiest debacles of the war for a North Korean division . Even though remnants of the NK 9th Division , supported by the low strength NK 4th Division , still held Obong @-@ ni Ridge , Cloverleaf Hill , and the intervening ground back to the Naktong on September 6 , the division 's offensive strength had been spent at the end of the American counterattack . The NK 9th and 4th divisions were not able to resume the offensive . 
","were able to repel the attack , they were unable to halt the advance of North Korea . The North Koreans were forced to retreat to the south , where they continued to attack the South . On September 4 , the North launched a surprise attack on South Korea , but was repelled by South Korean forces . By the end of that day , there were no reports of casualties or casualties of any kind .","[""still held Obong @-@ ni Ridge , Cloverleaf Hill , and the intervening ground back to the Naktong on September 6 , the division 's offensive strength had been spent at the end of the American counterattack . The NK 9th and 4th divisions were not able to resume the offensive .""]"
278," = = = NK 2nd Division destroyed = = = 
",Platoon of the 1st Division was sent,['Division destroyed = = =']
279," The NK 2nd Division made a new effort against the 23rd Infantry 's perimeter in the predawn hours of September 8 , in an attempt to break through eastward . This attack , launched at 02 : 30 and heavily supported with artillery , penetrated F Company . It was apparent that unless F Company 's position could be restored the entire regimental front would collapse . When all its officers became casualties , First Lieutenant Ralph R. Robinson , adjutant of the 2nd Battalion , assumed command of the company . With North Koreans rapidly infiltrating his company 's position and gaining its rear , Robinson in the darkness made his way through them 500 yards ( 460 m ) to A Company 's position . There he obtained that company 's reserve platoon and brought it back to F Company . He accomplished the dangerous and difficult task of maneuvering it into the gap in F Company 's lines in darkness and heavy rain . 
","3rd Division , ordered his men to retreat to the rear . The NK 1st Division was able to hold its position for a short time , but was unable to advance beyond the line of retreat . On the other hand , the NK 4th Division suffered heavy losses , and was forced to withdraw from the front by the end of October . In the following days , both divisions were attacked by enemy forces , including the 5th and 6th Infantry Divisions , which were led by Lt. Col. John W. Hanks .","[""2nd Battalion , assumed command of the company . With North Koreans rapidly infiltrating his company 's position and gaining its rear , Robinson in the darkness made his way through them 500 yards ( 460 m ) to A Company 's position . There he obtained that company 's reserve platoon and brought it back to F Company . He accomplished the dangerous and difficult task of maneuvering it into the gap in F Company 's lines in darkness and heavy rain .""]"
280," The attack tapered off with the coming of daylight , but that night it resumed . The North Koreans struck repeatedly at the defense line . This time they continued the fighting into the daylight hours of 9 September . The Air Force then concentrated strong air support over the regimental perimeter to aid the ground troops . Casualties came to the aid stations from the infantry companies in an almost steady stream during the morning . All available men from Headquarters Company and special units were formed into squads and put into the fight at the most critical points . At one time , the regimental reserve was down to six men . When the attack finally ceased shortly after 12 : 00 the 23rd Regiment had an estimated combat efficiency of only 38 percent . 
","of the 1st and 2nd Battalions , and the 3rd and 4th Regiments . On the morning of 10 September , the North Korean air force launched a series of air strikes on the South Korean capital , Seoul . By the end of that day , there were reports of casualties from both sides . In the afternoon , North Korea launched another air attack on Seoul , this time targeting the headquarters of South Korea's National Intelligence Service ( NIS ) , which was under the command of President Park Geun-hye .","['in an almost steady stream during the morning . All available men from Headquarters Company and special units were formed into squads and put into the fight at the most critical points . At one time , the regimental reserve was down to six men . When the attack finally ceased shortly after 12 : 00 the 23rd Regiment had an estimated combat efficiency of only 38 percent .']"
281," This heavy night and day battle cost the NK 2nd Division most of its remaining offensive strength . The medical officer of the NK 17th Regiment , 2nd Division , captured a few days later , said that the division evacuated about 300 men nightly to a hospital in Pugong @-@ ni , and that in the first two weeks of September the 2nd Division lost 1 @,@ 300 killed and 2 @,@ 500 wounded in the fighting west of Changnyong . Even though its offensive strength was largely spent by September 9 , the division continued to harass rear areas around Changnyong with infiltrating groups as large as companies . Patrols daily had to open the main supply road and clear the town . 
","there were no reports of casualties . On the other hand , on the night of 9 September , the battalion reported that it had been attacked by a small group of enemy troops , but that no casualties were reported . In the morning of 10 September the battle was over , with the enemy retreating to the south , where they were forced to retreat by heavy artillery fire . By the afternoon of 11 September it was clear that both sides were in retreat .","['the 2nd Division lost 1 @,@ 300 killed and 2 @,@ 500 wounded in the fighting west of Changnyong . Even though its offensive strength was largely spent by September 9 , the division continued to harass rear areas around Changnyong with infiltrating groups as large as companies . Patrols daily had to open the main supply road and clear the town .']"
282," North Korean and US troops remained locked in combat along the Naktong River for several more days . The North Koreans ' offensive capability was largely destroyed , and the US troops resolved to hold their lines barring further attack . 
","Korean forces were forced to withdraw from the river by the end of the day , and the US and South Korean troops were unable to return to their positions .","[""Koreans ' offensive capability was largely destroyed , and the US troops resolved to hold their lines barring further attack .""]"
283," = = = North Korean withdrawal = = = 
",American and Caribbean islands,['Korean withdrawal = = =']
284," The UN counterattack at Inchon collapsed the North Korean line and cut off all their main supply and reinforcement routes . On September 19 the UN discovered the North Koreans had abandoned much of the Pusan Perimeter during the night , and the UN units began advancing out of their defensive positions and occupying them . Most of the North Korean units began conducting delaying actions attempting to get as much of their army as possible into North Korea . The North Koreans withdrew from the Masan area first , the night of September 18 – 19 . After the forces there , the remainder of the North Korean armies withdrew rapidly to the North . The US units rapidly pursued them north , passing over the Naktong River positions , which were no longer of strategic importance . 
","to the South Korean border . By the morning of September 20 , the US and South Korea had withdrawn their forces from the area . North Korea continued to threaten the United States with nuclear and ballistic missile attacks , but the U.S. military did not respond to their threats . The United Nations Security Council passed a resolution on September 21 that called for an immediate cessation of hostilities in the Korean Peninsula and called on the DPRK to refrain from any further provocations .","['as much of their army as possible into North Korea . The North Koreans withdrew from the Masan area first , the night of September 18 – 19 . After the forces there , the remainder of the North Korean armies withdrew rapidly to the North . The US units rapidly pursued them north , passing over the Naktong River positions , which were no longer of strategic importance .']"
285," = = Aftermath = = 
",/ =,['Aftermath = =']
286," The North Korean 2nd and 9th Divisions were almost completely destroyed in the battles . The 9th Division had numbered 9 @,@ 350 men at the beginning of the offensive on September 1 . The 2nd Division numbered 6 @,@ 000 . Only a few hundred from each division returned to North Korea after the fight . The majority of the North Korean troops had been killed , captured or deserted . All of NK II Corps was in a similar state , and the North Korean army , exhausted at Pusan Perimeter and cut off after Inchon , was on the brink of defeat . 
",", and the North Koreans were forced to retreat to the south .  The South Korean 3rd Division , which had been under the command of General Kim Il-sung , was destroyed by the Korean People's Army on October 1 , 1945 , after which it was replaced by a new division called the 2 @-@ 3 Division . In the following days , the South Koreans began to withdraw from the peninsula , leaving behind only a small number of men and materiel . By the end of","['after the fight . The majority of the North Korean troops had been killed , captured or deserted . All of NK II Corps was in a similar state , and the North Korean army , exhausted at Pusan Perimeter and cut off after Inchon , was on the brink of defeat .']"
287," By this time , the US 2nd Infantry Division suffered 1 @,@ 120 killed , 2 @,@ 563 wounded , 67 captured and 69 missing during its time at Pusan Perimeter . This included about 180 casualties it suffered during the First Battle of Naktong Bulge the previous month . American forces were continually repulsed but able to prevent the North Koreans from breaking the Pusan Perimeter . The division had numbered 17 @,@ 498 on September 1 , but was in excellent position to attack despite its casualties . The 1st Provisional Marine Brigade suffered 185 killed and around 500 wounded during the Battle of Pusan Perimeter , most of which probably occurred at Yongsan . 
","repulse the Japanese advance . The Japanese were forced to retreat back to the north , where they continued to attack American troops in the south . By the end of the day , US 1st Infantry was in a state of retreat , and the enemy was retreating westward . On the morning of August 6 , 1945 , a Japanese attack on Pearl Harbor , Hawaii , was repelled by US forces .","['prevent the North Koreans from breaking the Pusan Perimeter . The division had numbered 17 @,@ 498 on September 1 , but was in excellent position to attack despite its casualties . The 1st Provisional Marine Brigade suffered 185 killed and around 500 wounded during the Battle of Pusan Perimeter , most of which probably occurred at Yongsan .']"
288," Of all the North Korean attacks along the Pusan Perimeter , the Second Battle of Naktong Bulge is seen by historians as the most serious threat . It was the battle in which the North Koreans made the most substantial gains , splitting the US 2nd Infantry Division in half and briefly capturing Yongsan , where they were very close to breaching through to the US forces ' supply lines and threatening other divisions ' rear areas . However , once again the fatal weakness of the North Korean Army had cost it victory after an impressive initial success — its communications and supply were not capable of exploiting a breakthrough and of supporting a continuing attack in the face of massive air , armor , and artillery fire that could be concentrated against its troops at critical points . By September 8 , the North Korean attacks in the area had been repulsed . 
",". The battle was a major victory for the Korean People's Army , which had suffered heavy losses in the previous battle , but was able to hold its own against the Japanese forces . In addition , it was also the first time in history that North Korea had launched a nuclear attack on the United States , and the second time that it had done so in such a short period of time . On the day of the attack , Kim Jong Un ordered his troops to withdraw from the area to avoid further casualties .","['. However , once again the fatal weakness of the North Korean Army had cost it victory after an impressive initial success — its communications and supply were not capable of exploiting a breakthrough and of supporting a continuing attack in the face of massive air , armor , and artillery fire that could be concentrated against its troops at critical points . By September 8 , the North Korean attacks in the area had been repulsed .']"
289," = Hed PE = 
",onist @-,['PE =']
290," Hed PE , also known as ( hed ) Planet Earth and stylized as ( həd ) p.e. , is an American rock band from Huntington Beach , California . Formed in 1994 , the band performs a style of music which it refers to as "" G @-@ punk "" , a fusion of punk rock and gangsta rap . 
",The band was formed in 1986 and released their debut album in 1987 . Hed PE debuted on the Billboard Hot 100 and peaked at number one in the United States in 1988 .,"['Formed in 1994 , the band performs a style of music which it refers to as "" G @-@ punk "" , a fusion of punk rock and gangsta rap .']"
291," After releasing three albums on Jive Records , Hed PE left the label to record independently , eventually signing with Suburban Noize Records in 2006 . Since 2006 , the band has become known for its involvement in the 9 / 11 Truth movement , referencing it in many of their song lyrics and concerts , as well as the concept of the album New World Orphans . To date , they have released nine studio albums , one live album and two compilation albums . 
","and Reconciliation Project , which aims to bring justice to the victims of 9/11 . The group has also released a number of remixes of songs from the album , including a remix of the song 's title track . In 2013 , they released their first full-length studio album .","['movement , referencing it in many of their song lyrics and concerts , as well as the concept of the album New World Orphans . To date , they have released nine studio albums , one live album and two compilation albums .']"
292," = = History = = 
",/ =,['History = =']
293," = = = Formation and major @-@ label debut ( 1994 – 1999 ) = = = 
",formation =  The formation of a major label is an important step in the,['debut ( 1994 – 1999 ) = = =']
294," The band was formed by vocalist Jared Gomes , formerly of The Clue , also known as "" M.C.U.D. "" ( MC Underdog ) , and guitarist Wes Geer , who became friends amidst the Orange County hardcore punk scene . Gomes and Geer recruited guitarist Chizad , bassist Mawk , drummer B.C. Vaught and DJ Product © 1969 . They named the group "" Hed "" , which stands for "" higher education "" . The band built a following with their energetic performances at local venues , and released the self @-@ financed extended play , Church of Realities . Legal issues forced Hed to change their name , adding "" PE "" , which stood for "" Planet Earth "" . 
","their first album after the band . The band toured extensively in the U.S. , Canada , Australia , New Zealand , South Africa , Ireland , the United Kingdom , France , Germany , Italy , Spain , Portugal , Switzerland , Austria , Belgium , Denmark , Finland , Netherlands , Norway , Sweden , Poland , Czech Republic , Hungary , Slovakia , Slovenia , Turkey , Ukraine , Belarus , Estonia , Latvia , Lithuania , Malta , Montenegro , Liechtenstein , Romania , Bulgaria , Croatia , Cyprus , Greece","['the group "" Hed "" , which stands for "" higher education "" . The band built a following with their energetic performances at local venues , and released the self @-@ financed extended play , Church of Realities . Legal issues forced Hed to change their name , adding "" PE "" , which stood for "" Planet Earth "" .']"
295," Hed PE signed with Jive Records , releasing their self @-@ titled debut album in 1997 . In his review of the album , Allmusic 's Steve Huey wrote "" There are some slow and / or unfocused moments [ ... ] but overall , its aggression will probably play well with late- ' 90s metal and punk fans . "" Due to the label 's contractual terms and the disappointing sales of the album , the band found themselves unable to repay the cash advances given to them by Jive . Gomes is quoted as saying "" We had these romantic visions of the music industry , and we thought it would be cool to be a punk band on a rap label . So we fulfilled that dream , but it was also probably the worst thing that could have happened . [ ... ] We 've had offers from Sony and others that we can 't take because we owe Jive so much money . "" 
","debts owed to them by the time it was released in 1998 . The band was forced to cancel their tour in 1999 , leaving them stranded on the road for the rest of their lives . They returned to Los Angeles in 2001 , where they recorded their first studio album and released it in 2003 . ~ Mark Deming , R.I.P. ( Journal of American Folklore , Vol. 1 , No. 2 ) 
   The album peaked at #1 in the Billboard 200 and #2 in North America , followed by #3 in Europe , #4 in Japan , and then #5 in Australia .","['cash advances given to them by Jive . Gomes is quoted as saying "" We had these romantic visions of the music industry , and we thought it would be cool to be a punk band on a rap label . So we fulfilled that dream , but it was also probably the worst thing that could have happened . [ ... ] We \'ve had offers from Sony and others that we can \'t take because we owe Jive so much money . ""']"
296," = = = Broke and Blackout ( 2000 – 2004 ) = = = 
",1962 ) =,['2000 – 2004 ) = = =']
297," On June 6 , 2000 , Hed PE appeared on the tribute album Nativity in Black II , covering Black Sabbath 's "" Sabbra Cadabra "" . Hed PE released their second studio album , Broke on August 22 , 2000 . It peaked at No. 63 on the Billboard 200 , while its first single , "" Bartender "" , peaked at No. 23 on the Billboard Mainstream Rock Tracks chart and at No. 27 on the Modern Rock Tracks chart . Allmusic 's Jason D. Taylor wrote : "" Broke may have not found as much success in the competitive mainstream market as some would have liked , and even despite its distinct departure from the group 's debut , it is an album that shows more vision than other rap @-@ tinged rock albums to come out in 2000 . "" The most negative response to the album came from critics who viewed its lyrics as misogynistic . 
","Albums chart . The album was released as a single in the United States on June 7 , 2001 , and was followed by a two-week tour of Europe and North America . In the U.S., the album sold more than 1 million copies worldwide , with sales of $1.5 million and $2.2 million , respectively , in 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 , 2020 , 2021 , 2022 , 2023 , 2024 , 2025 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38 , 39 , 40 , 41","['Tracks chart . Allmusic \'s Jason D. Taylor wrote : "" Broke may have not found as much success in the competitive mainstream market as some would have liked , and even despite its distinct departure from the group \'s debut , it is an album that shows more vision than other rap @-@ tinged rock albums to come out in 2000 . "" The most negative response to the album came from critics who viewed its lyrics as misogynistic .']"
298," On October 27 , 2000 , Gomes was arrested for possession of marijuana while the band was performing in Waterbury , Connecticut . He was released on a US $ 1 @,@ 500 bond . In 2001 , Hed PE performed on the Ozzfest tour alongside bands such as Korn , Static @-@ X , and System of a Down . A music video for "" Killing Time "" , the second single from Broke , was produced in promotion of the film 3000 Miles to Graceland , which featured the song on its soundtrack . 
","as the Grateful Dead , The Rolling Stones , and The Who . The band toured extensively throughout the United States , including New York City , Los Angeles , Philadelphia , Chicago , Washington , D.C., and London , England , where they performed live for the first time in the U.S. .","['as Korn , Static @-@ X , and System of a Down . A music video for "" Killing Time "" , the second single from Broke , was produced in promotion of the film 3000 Miles to Graceland , which featured the song on its soundtrack .']"
299," Hed PE released their third studio album , Blackout , on March 18 , 2003 . It peaked at No. 33 on the Billboard 200 , while its title track peaked at No. 21 on the Mainstream Rock Tracks chart and at No. 32 on the Modern Rock Tracks chart . Allmusic 's Johnny Loftus wrote that "" While it expands on melodic elements that had previously played a supporting role in the band 's sound , Blackout also delivers truckloads of crushing guitar and pounding rhythm . And whether or not it is the presence of a top @-@ line producer , ( hed ) pe have figured out a way to imbue their aggressive mix of heavy rock and hip @-@ hop with some serious hooks . "" Guitarist Jaxon joined the band in early 2004 . He is the fourth person to fill this position . 
",", the album is more of an exploration of the relationship between EDM and rock 'n' roll . "" The album was released on April 1 , 2004 , and was followed by the follow-up album Black Out , which debuted at number one on Billboard and became the #1 album of all time . The following year , they released a new single , "" My Love "" , in which they reunited for the first time in over a decade . In 2005 , their first single, "" I Don't Want You to Know "" (featuring guest vocals by Eric Clapton ) was featured on MTV Video Music Awards , where it was nominated for a Grammy Award .","['\'s sound , Blackout also delivers truckloads of crushing guitar and pounding rhythm . And whether or not it is the presence of a top @-@ line producer , ( hed ) pe have figured out a way to imbue their aggressive mix of heavy rock and hip @-@ hop with some serious hooks . "" Guitarist Jaxon joined the band in early 2004 . He is the fourth person to fill this position .']"
300," = = = Only in Amerika ( 2004 ) = = = 
",is there a clear distinction between the two groups .,['( 2004 ) = = =']
301," Hed PE left Jive Records , releasing their fourth studio album , Only in Amerika , on Koch Records on October 19 , 2004 . It peaked at No. 20 on the Top Independent Albums chart and at No. 186 on the Billboard 200 . In his review of the album , Johnny Loftus wrote "" It wants to be a confrontational megaphone in the ear of conservatives , but Jahred 's torrential rhetoric is too messy and blatantly offensive to incite anything but superficial anger , and the music -- though occasionally explosive -- takes a backseat to the ranting . "" 
","he wrote , "" The album is one of my favorite albums of all time , and one that I would recommend to anyone who has ever listened to EDM music . The songwriting is superb , the lyrics are well written and the production is well executed . I highly recommend this album for anyone looking for something new to listen to .","[', Johnny Loftus wrote "" It wants to be a confrontational megaphone in the ear of conservatives , but Jahred \'s torrential rhetoric is too messy and blatantly offensive to incite anything but superficial anger , and the music -- though occasionally explosive -- takes a backseat to the ranting . ""']"
302," = = = Suburban Noize Records and New Album Evolution ( 2006 – 2015 ) = = = 
",s : ==  The first album to be released in the U.S,['Evolution ( 2006 – 2015 ) = = =']
303," In 2006 , Hed PE signed with Suburban Noize Records , recording their fifth studio album , Back 2 Base X. The album was intended as a return to the basics of rock music , and did not rely as heavily on studio enhancement as previous releases . The album was released on June 6 , 2006 , the same day as The Best of ( həd ) Planet Earth , a compilation album produced by Jive Records without the band 's authorization or consent . Back 2 Base X peaked at No. 12 on the Independent Albums chart , and at No. 154 on the Billboard 200 . Allmusic 's Rob Theakston wrote that "" Back 2 Base X suffers from the same problems as Amerika : it tries to be conceptual in thought à la Tool and vicious in its political commentary à la Fugazi or System of a Down , but somehow falls short by sounding like an angry stoner on a soapbox . It won 't win any new fans , but existing fans of ( hed ) pe 's work won 't be turning their backs away from the band in anger anytime soon , either . "" 
","it was followed by a number of singles , including the single "" I Love You "" , which was the first single from the album to be released in the U.S. . In 2007 , they released a new single , "" The End of the World "" . Hed received a Grammy Award nomination for Best Rock Album in 2007 for the song "" My Love "" and was nominated for an Emmy Award for Outstanding Performance in a Musical , Best Original Song and Best Album for a Song . They released their third studio LP in 2009 , titled The World Is Not Enough , in which they recorded their first full-length album since the release of their debut album in 2006 .","['at No. 154 on the Billboard 200 . Allmusic \'s Rob Theakston wrote that "" Back 2 Base X suffers from the same problems as Amerika : it tries to be conceptual in thought à la Tool and vicious in its political commentary à la Fugazi or System of a Down , but somehow falls short by sounding like an angry stoner on a soapbox . It won \'t win any new fans , but existing fans of ( hed ) pe \'s work won \'t be turning their backs away from the band in anger anytime soon , either . ""']"
304," On June 26 , 2007 , the band released their sixth studio album , Insomnia . It peaked at No. 16 on the Independent Albums chart , and at No. 138 on the Billboard 200 . The album 's lead single , "" Suffa "" , became one of the most requested tracks at Sirius Satellite Radio 's Hard Attack , while the song 's music video was voted one of the Top 10 of 2007 on MTV 's Headbangers Ball . Hed PE released their first live album , The D.I.Y. Guys , in 2008 . On January 13 , 2009 , they released their seventh studio album , New World Orphans . It was released in three different versions ; each contains a different set of bonus tracks . In 2009 , drummer Trauma joined the band . He is the sixth person to fill this position . The band 's eighth studio album , Truth Rising , was released on October 26 , 2010 to mixed reviews . Hed pe played the "" Local Heroes Tour "" in the fall of 2012 and played with Flipsyde in San jose on Sunday October 7 , 2012 . In an interview , frontman Jared Gomes stated that their album for 2013 titled Ascension would be released within the first half of 2014 . Towards the end of 2013 , DJ Product mysteriously left the band with no explanation and no comment from the other members . On 1 / 1 / 2014 , Frontman Jahred Gomes stated on the band 's official Facebook that the new upcoming ( hed ) PE album will be named "" Evolution "" and to be released within the year . 
","lead vocalist for the new album and is known for his ability to play the drums on songs like "" The Way You Lie "" and "" I Don't Want You to Know It "" .  The band also released a live performance of their new single "" A Day in the Life "" on January 21 , 2010 . They released the album on February 1 , 2011 . ~ Mark Deming , Contributor To The Washington Times Bureau @ http://www.washingtonpost.com/blogs/post-politics/wp/2011/02/21/new-world-orphans-album-says-it-is-the-most-popular-song-of-2007- @-@ year   in the U.S. He also contributed to the cover of The New York Times Book Review , which was nominated for a Pulitzer Prize , as well as a Grammy Award for Best New Artist , for which he received a $250,000 grant from the Recording Industry Association of America","['sixth person to fill this position . The band \'s eighth studio album , Truth Rising , was released on October 26 , 2010 to mixed reviews . Hed pe played the "" Local Heroes Tour "" in the fall of 2012 and played with Flipsyde in San jose on Sunday October 7 , 2012 . In an interview , frontman Jared Gomes stated that their album for 2013 titled Ascension would be released within the first half of 2014 . Towards the end of 2013 , DJ Product mysteriously left the band with no explanation and no comment from the other members . On 1 / 1 / 2014 , Frontman Jahred Gomes stated on the band \'s official Facebook that the new upcoming ( hed ) PE album will be named "" Evolution "" and to be released within the year .']"
305," On May 13 , 2014 , On the band 's official Facebook page , they released the official announcement of when the band 's new album Evolution will hit stores . The album is set for release July 22 , 2014 . They also released a teaser of the tone of the new album on their Facebook page and soon after , the track "" One More Body "" . 
","to be released on May 14 , 2015 . Evolution is the first single from the album and will be available for pre-order on iTunes , Amazon , Bandcamp , and other platforms . It will also be featured as part of the "" Evolution "" tour , which kicks off on June 2 .","['for release July 22 , 2014 . They also released a teaser of the tone of the new album on their Facebook page and soon after , the track "" One More Body "" .']"
306," In 2015 , it was confirmed that 12 @-@ year guitarist Jaxon Benge and original bassist Mark Young had left the band . They were replaced by guitarist Greg "" Gregzilla "" Harrison and bassist Kurt Blankenship , leaving vocalist and founding member Jared Gomes as the group 's only remaining original talent . 
","a new drummer , who had been hired to replace them . The band released their first album in 2016 , which was released in 2017 . In 2018 , they announced that they would be releasing their second album .","['guitarist Greg "" Gregzilla "" Harrison and bassist Kurt Blankenship , leaving vocalist and founding member Jared Gomes as the group \'s only remaining original talent .']"
307," = = Style = = 
",/ =,['Style = =']
308," = = = Music and lyrics = = = 
",and dance =,['and lyrics = = =']
309," Hed PE performs a style of music which they have referred to as "" G @-@ punk "" , a phrase inspired by the term "" G @-@ funk "" , itself a reference to the P @-@ Funk collective . Hed PE 's music is a fusion of styles ranging from hip hop , reggae , and ska to hard rock , punk , and heavy metal . Other elements that have been incorporated into this style include blues , funk , jazz and industrial . Jared Gomes ' vocal style ranges from melodic singing to rapping , screaming , and death growls . The band 's lyrics draw from a number of subjects , including the existence of extraterrestrial life , criticism of organized religion , the 9 / 11 Truth movement , cannabis use and sexual intercourse . 
","members of the group include the likes of Jazzy Jeffery , the band's lead singer and bassist , as well as guitarist and vocalist Matt Hildebrandt , who is also a member . The group has also released a number of remixes of their songs , including a remix of a song from their debut album , which was featured on the cover of Rolling Stone . In addition , they released their first single , "" I Love You "" .","[""elements that have been incorporated into this style include blues , funk , jazz and industrial . Jared Gomes ' vocal style ranges from melodic singing to rapping , screaming , and death growls . The band 's lyrics draw from a number of subjects , including the existence of extraterrestrial life , criticism of organized religion , the 9 / 11 Truth movement , cannabis use and sexual intercourse .""]"
310," Gomes , in addition to the 9 / 11 Truth movement , has expressed support for social liberal politicians such as Nancy Pelosi and president Barack Obama . Previously however , Gomes ' 2004 lyrics for Only in Amerika expressed support for nationalism , and called for retaliation against Al Qaeda for the 9 / 11 terrorist attacks . 
",", he has been a member of the Democratic Congressional Campaign Committee ( DCCC ) . He has also been an outspoken critic of President Donald Trump , calling him a "" racist "" and "" xenophobe "" .","[""however , Gomes ' 2004 lyrics for Only in Amerika expressed support for nationalism , and called for retaliation against Al Qaeda for the 9 / 11 terrorist attacks .""]"
311," = = = Influences = = = 
",History of the United States,['Influences = = =']
312," The band 's influences include HEM , Beastie Boys , Black Sabbath , Bob Marley , Led Zeppelin , Nine Inch Nails , Snoop Dogg , Cypress Hill , Notorious B.I.G. and Rage Against the Machine . Hed PE 's second album , Broke , incorporated classic rock and world music influences , while Back 2 Base X was influenced by classic punk bands such as the Sex Pistols and the Clash , Insomnia was influenced by thrash metal bands such as Slayer , and New World Orphans was influenced by Suicidal Tendencies and Minor Threat . Guitarist Jaxon has been credited for encouraging a heavier , hardcore punk @-@ influenced musical style . 
",", the band's first full-length , was released in 1999 . The band released their first studio album in 2002 . In 2005 , they released the first single 'Stonewall ' , which featured a cover of the Beatles ' ' ""I Know You Rider "" . They also released a number of studio albums in 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 , 2020 , 2021 ,","['X was influenced by classic punk bands such as the Sex Pistols and the Clash , Insomnia was influenced by thrash metal bands such as Slayer , and New World Orphans was influenced by Suicidal Tendencies and Minor Threat . Guitarist Jaxon has been credited for encouraging a heavier , hardcore punk @-@ influenced musical style .']"
313," = = Band members = = 
",its = =,['members = =']
314," Jared ( Paulo Sergio Gomes ) — lead vocals ( 1994 – current ) 
",@-@ 3 @.@ 1 .@ 2 .,['lead vocals ( 1994 – current )']
315," Major Trauma ( Jeremiah Stratton ) — drums ( 2008 – current ) 
",", a former member of the U.S. Army",['— drums ( 2008 – current )']
316," Gregzilla ( Greg Harrison ) — guitar ( 2015 – current ) 
","@-@ "" — "" """,['guitar ( 2015 – current )']
317," Kid Bass ( Kurt Blankenship ) — bass ( 2015 – current ) 
",is the lead singer of the band . He is a,['— bass ( 2015 – current )']
318," = = = Former members = = = 
",U.S. Senator =,['members = = =']
319," Ken Sachs ( The Finger ) — keyboard ( 1994 – 1996 ) 
",", who played the lead role in the film , said : """,['— keyboard ( 1994 – 1996 )']
320," Chad Benekos ( Chizad ) — guitar ( 1994 – 2002 ) 
",who played the lead role in the,['guitar ( 1994 – 2002 )']
321," Wesley Geer ( Wesstyle , Wes Geer ) — guitar ( 1994 – 2003 ) 
",) is an American actor and producer who has appeared in,[') — guitar ( 1994 – 2003 )']
322," Ben C. Vaught ( B.C. ) — drums ( 1994 – 2003 ) 
",was born in the United States and raised,['— drums ( 1994 – 2003 )']
323," Doug Boyce ( DJ Product © 1969 ) — turntables , samples ( 1994 – 2013 ) 
",was the first DJ to record a live album in the United States .,"['— turntables , samples ( 1994 – 2013 )']"
324," Mark Young ( Mawk ) — bass ( 1994 – 2015 ) 
",who played the lead role in the first episode of the,['bass ( 1994 – 2015 )']
325," Sonny Mayo — guitar ( 2002 – 2003 ) 
",and vocals — was a member of the,['( 2002 – 2003 )']
326," Jackson Benge ( Jaxon ) — guitar ( 2004 – 2015 ) 
",who was born in the United States and raised,['guitar ( 2004 – 2015 )']
327," Christopher Hendrich — drums ( 2004 ) 
",who was born in the Netherlands,['drums ( 2004 )']
328," Mark "" Moke "" Bistany — drums ( 2004 – 2006 ) 
",who played the lead role in the film —,['drums ( 2004 – 2006 )']
329," Devin Lebsack — drums ( 2006 – 2007 ) 
",", bass , and vocals —",['( 2006 – 2007 )']
330," Anthony "" Tiny Bubz "" Biuso — drums ( 2007 – 2008 ) 
",was born in the United States and raised in a,['— drums ( 2007 – 2008 )']
331," = = = Timeline = = = 
",""" = ~ =",['Timeline = = =']
332," = = Discography = = 
",/ =,['Discography = =']
