,examples,predictions,references
280," The attack tapered off with the coming of daylight , but that night it resumed . The North Koreans struck repeatedly at the defense line . This time they continued the fighting into the daylight hours of 9 September . The Air Force then concentrated strong air support over the regimental perimeter to aid the ground troops . Casualties came to the aid stations from the infantry companies in an almost steady stream during the morning . All available men from Headquarters Company and special units were formed into squads and put into the fight at the most critical points . At one time , the regimental reserve was down to six men . When the attack finally ceased shortly after 12 : 00 the 23rd Regiment had an estimated combat efficiency of only 38 percent . 
","of the 2nd and 3rd Divisions , which were under the command of General Kim Il-sung , and the 1st Division , commanded by General Hwang Pyong-chol . On the morning of 10 September , the North Korean air force launched a series of air strikes on the South Korean capital , Seoul . By the afternoon , however, the air attack had been halted by the arrival of reinforcements from South Korea . North Korea continued to bombard the capital until 10 October .","['in an almost steady stream during the morning . All available men from Headquarters Company and special units were formed into squads and put into the fight at the most critical points . At one time , the regimental reserve was down to six men . When the attack finally ceased shortly after 12 : 00 the 23rd Regiment had an estimated combat efficiency of only 38 percent .']"
281," This heavy night and day battle cost the NK 2nd Division most of its remaining offensive strength . The medical officer of the NK 17th Regiment , 2nd Division , captured a few days later , said that the division evacuated about 300 men nightly to a hospital in Pugong @-@ ni , and that in the first two weeks of September the 2nd Division lost 1 @,@ 300 killed and 2 @,@ 500 wounded in the fighting west of Changnyong . Even though its offensive strength was largely spent by September 9 , the division continued to harass rear areas around Changnyong with infiltrating groups as large as companies . Patrols daily had to open the main supply road and clear the town . 
","there were no reports of casualties from the battle . On the other hand , on the night of 9 September , the commander of a division that had been captured by the enemy , Lt. Gen. H. R. W. McLean , reported that he had received reports from a number of prisoners of war who had died during the fighting . In addition , he said , there was a report from one of his men who was wounded by a mortar shell .","['the 2nd Division lost 1 @,@ 300 killed and 2 @,@ 500 wounded in the fighting west of Changnyong . Even though its offensive strength was largely spent by September 9 , the division continued to harass rear areas around Changnyong with infiltrating groups as large as companies . Patrols daily had to open the main supply road and clear the town .']"
282," North Korean and US troops remained locked in combat along the Naktong River for several more days . The North Koreans ' offensive capability was largely destroyed , and the US troops resolved to hold their lines barring further attack . 
","Korean forces were forced to withdraw from the river by the end of the day , and the US and South Korean troops were unable to return to their positions .","[""Koreans ' offensive capability was largely destroyed , and the US troops resolved to hold their lines barring further attack .""]"
283," = = = North Korean withdrawal = = = 
",America : =  The United States,['Korean withdrawal = = =']
284," The UN counterattack at Inchon collapsed the North Korean line and cut off all their main supply and reinforcement routes . On September 19 the UN discovered the North Koreans had abandoned much of the Pusan Perimeter during the night , and the UN units began advancing out of their defensive positions and occupying them . Most of the North Korean units began conducting delaying actions attempting to get as much of their army as possible into North Korea . The North Koreans withdrew from the Masan area first , the night of September 18 – 19 . After the forces there , the remainder of the North Korean armies withdrew rapidly to the North . The US units rapidly pursued them north , passing over the Naktong River positions , which were no longer of strategic importance . 
","to the South Korean border . By the time they reached the border , however , they had already begun to withdraw from the area . North Korea continued to attack South Korea , but the U.S. and South Koreans were unable to halt the advance . The North launched a series of missile attacks on the United States , including one that hit the USS Carl Vinson in the Gulf of Mexico , killing all four crew members . In the end , the attack was repelled .","['as much of their army as possible into North Korea . The North Koreans withdrew from the Masan area first , the night of September 18 – 19 . After the forces there , the remainder of the North Korean armies withdrew rapidly to the North . The US units rapidly pursued them north , passing over the Naktong River positions , which were no longer of strategic importance .']"
285," = = Aftermath = = 
",=,['Aftermath = =']
286," The North Korean 2nd and 9th Divisions were almost completely destroyed in the battles . The 9th Division had numbered 9 @,@ 350 men at the beginning of the offensive on September 1 . The 2nd Division numbered 6 @,@ 000 . Only a few hundred from each division returned to North Korea after the fight . The majority of the North Korean troops had been killed , captured or deserted . All of NK II Corps was in a similar state , and the North Korean army , exhausted at Pusan Perimeter and cut off after Inchon , was on the brink of defeat . 
",", and the North Koreans were forced to withdraw from the South Korean border . By the end of September , the 3rd and 4th divisions had been completely annihilated , with the remaining 3 remaining in a state of disarray . In the following weeks , South Korea and Japan , along with China and Taiwan , launched a series of naval and air attacks on the Korean Peninsula .","['after the fight . The majority of the North Korean troops had been killed , captured or deserted . All of NK II Corps was in a similar state , and the North Korean army , exhausted at Pusan Perimeter and cut off after Inchon , was on the brink of defeat .']"
287," By this time , the US 2nd Infantry Division suffered 1 @,@ 120 killed , 2 @,@ 563 wounded , 67 captured and 69 missing during its time at Pusan Perimeter . This included about 180 casualties it suffered during the First Battle of Naktong Bulge the previous month . American forces were continually repulsed but able to prevent the North Koreans from breaking the Pusan Perimeter . The division had numbered 17 @,@ 498 on September 1 , but was in excellent position to attack despite its casualties . The 1st Provisional Marine Brigade suffered 185 killed and around 500 wounded during the Battle of Pusan Perimeter , most of which probably occurred at Yongsan . 
","repulse the Japanese advance . The Japanese were forced to retreat back to the north , where they continued to attack American troops in the south . By the end of the day , US forces had been defeated , and the remaining Japanese had surrendered to Japanese forces . On the morning of August 21 , 1945 , a Japanese attack on Pearl Harbor , Hawaii , was repelled by US troops .","['prevent the North Koreans from breaking the Pusan Perimeter . The division had numbered 17 @,@ 498 on September 1 , but was in excellent position to attack despite its casualties . The 1st Provisional Marine Brigade suffered 185 killed and around 500 wounded during the Battle of Pusan Perimeter , most of which probably occurred at Yongsan .']"
288," Of all the North Korean attacks along the Pusan Perimeter , the Second Battle of Naktong Bulge is seen by historians as the most serious threat . It was the battle in which the North Koreans made the most substantial gains , splitting the US 2nd Infantry Division in half and briefly capturing Yongsan , where they were very close to breaching through to the US forces ' supply lines and threatening other divisions ' rear areas . However , once again the fatal weakness of the North Korean Army had cost it victory after an impressive initial success — its communications and supply were not capable of exploiting a breakthrough and of supporting a continuing attack in the face of massive air , armor , and artillery fire that could be concentrated against its troops at critical points . By September 8 , the North Korean attacks in the area had been repulsed . 
",". On the other side of the line , North Korea was able to hold off the advance of American forces for a short time , but was forced to retreat by the Japanese , who were still advancing on the south . The US and South Korean forces were unable to break through the advancing Japanese forces , and the two sides exchanged fire with each other for the first time since the end of World War II . In the second battle , which took place in the early morning hours of April 19 , 1945 , both sides were forced into a stalemate .","['. However , once again the fatal weakness of the North Korean Army had cost it victory after an impressive initial success — its communications and supply were not capable of exploiting a breakthrough and of supporting a continuing attack in the face of massive air , armor , and artillery fire that could be concentrated against its troops at critical points . By September 8 , the North Korean attacks in the area had been repulsed .']"
289," = Hed PE = 
",wig and the Angry,['PE =']
290," Hed PE , also known as ( hed ) Planet Earth and stylized as ( həd ) p.e. , is an American rock band from Huntington Beach , California . Formed in 1994 , the band performs a style of music which it refers to as "" G @-@ punk "" , a fusion of punk rock and gangsta rap . 
","The band was formed in 1986 and released their debut album in 1987 . Their first album was released in 1988 , and their second in 1989 . Hed PE 's first full length album came out in 1990 .","['Formed in 1994 , the band performs a style of music which it refers to as "" G @-@ punk "" , a fusion of punk rock and gangsta rap .']"
291," After releasing three albums on Jive Records , Hed PE left the label to record independently , eventually signing with Suburban Noize Records in 2006 . Since 2006 , the band has become known for its involvement in the 9 / 11 Truth movement , referencing it in many of their song lyrics and concerts , as well as the concept of the album New World Orphans . To date , they have released nine studio albums , one live album and two compilation albums . 
","and Reconciliation Project , which aims to bring justice to the victims of 9/11 . The group has also released a number of music videos , including a video for the song "" My Love "" , and a song titled "" I Love You "" . In 2013 , they released their first studio album .","['movement , referencing it in many of their song lyrics and concerts , as well as the concept of the album New World Orphans . To date , they have released nine studio albums , one live album and two compilation albums .']"
292," = = History = = 
",=,['History = =']
293," = = = Formation and major @-@ label debut ( 1994 – 1999 ) = = = 
",: =  The formation of the label is based on the fact that the,['debut ( 1994 – 1999 ) = = =']
294," The band was formed by vocalist Jared Gomes , formerly of The Clue , also known as "" M.C.U.D. "" ( MC Underdog ) , and guitarist Wes Geer , who became friends amidst the Orange County hardcore punk scene . Gomes and Geer recruited guitarist Chizad , bassist Mawk , drummer B.C. Vaught and DJ Product © 1969 . They named the group "" Hed "" , which stands for "" higher education "" . The band built a following with their energetic performances at local venues , and released the self @-@ financed extended play , Church of Realities . Legal issues forced Hed to change their name , adding "" PE "" , which stood for "" Planet Earth "" . 
","the band after the singer of the popular rock 'n' roll band The Rolling Stones . The band toured extensively throughout the '70s and '80s , performing at venues such as The Fillmore West , The Palladium and The Ritz , as well as venues in Los Angeles and New York City .","['the group "" Hed "" , which stands for "" higher education "" . The band built a following with their energetic performances at local venues , and released the self @-@ financed extended play , Church of Realities . Legal issues forced Hed to change their name , adding "" PE "" , which stood for "" Planet Earth "" .']"
295," Hed PE signed with Jive Records , releasing their self @-@ titled debut album in 1997 . In his review of the album , Allmusic 's Steve Huey wrote "" There are some slow and / or unfocused moments [ ... ] but overall , its aggression will probably play well with late- ' 90s metal and punk fans . "" Due to the label 's contractual terms and the disappointing sales of the album , the band found themselves unable to repay the cash advances given to them by Jive . Gomes is quoted as saying "" We had these romantic visions of the music industry , and we thought it would be cool to be a punk band on a rap label . So we fulfilled that dream , but it was also probably the worst thing that could have happened . [ ... ] We 've had offers from Sony and others that we can 't take because we owe Jive so much money . "" 
","debts owed to them by the time it was released in 1998 . The band was forced to cancel their tour in 1999 , leaving them stranded on the road for the rest of their lives . They were eventually able to return to their hometown of Los Angeles in 2001 , where they recorded their first full-length album and released it on their own label in 2002 . Their second full length album was recorded in 2003 , and their third in 2004 , with a follow-up release in 2005 , which was followed by two more releases in 2006 and 2007 .","['cash advances given to them by Jive . Gomes is quoted as saying "" We had these romantic visions of the music industry , and we thought it would be cool to be a punk band on a rap label . So we fulfilled that dream , but it was also probably the worst thing that could have happened . [ ... ] We \'ve had offers from Sony and others that we can \'t take because we owe Jive so much money . ""']"
296," = = = Broke and Blackout ( 2000 – 2004 ) = = = 
",1962 ) ==,['2000 – 2004 ) = = =']
297," On June 6 , 2000 , Hed PE appeared on the tribute album Nativity in Black II , covering Black Sabbath 's "" Sabbra Cadabra "" . Hed PE released their second studio album , Broke on August 22 , 2000 . It peaked at No. 63 on the Billboard 200 , while its first single , "" Bartender "" , peaked at No. 23 on the Billboard Mainstream Rock Tracks chart and at No. 27 on the Modern Rock Tracks chart . Allmusic 's Jason D. Taylor wrote : "" Broke may have not found as much success in the competitive mainstream market as some would have liked , and even despite its distinct departure from the group 's debut , it is an album that shows more vision than other rap @-@ tinged rock albums to come out in 2000 . "" The most negative response to the album came from critics who viewed its lyrics as misogynistic . 
","Albums chart . The album reached #1 in the U.S. and #2 in Europe , and was nominated for a Grammy Award for Best Rock Performance by a Rock 'n' Roll Hall of Fame inductee . In 2002 , the album was released as a single and sold more than 100,000 copies worldwide . ~ Mark Deming , Contributor @ http://www.nomorefakenews.com/blog/2012/06/26/bartender-bobender/","['Tracks chart . Allmusic \'s Jason D. Taylor wrote : "" Broke may have not found as much success in the competitive mainstream market as some would have liked , and even despite its distinct departure from the group \'s debut , it is an album that shows more vision than other rap @-@ tinged rock albums to come out in 2000 . "" The most negative response to the album came from critics who viewed its lyrics as misogynistic .']"
298," On October 27 , 2000 , Gomes was arrested for possession of marijuana while the band was performing in Waterbury , Connecticut . He was released on a US $ 1 @,@ 500 bond . In 2001 , Hed PE performed on the Ozzfest tour alongside bands such as Korn , Static @-@ X , and System of a Down . A music video for "" Killing Time "" , the second single from Broke , was produced in promotion of the film 3000 Miles to Graceland , which featured the song on its soundtrack . 
","as the Grateful Dead , The Rolling Stones , and The Who . The band released their first album in 2002 . ~ Mark Knopf , author of the New York Times Bestsellers ' Guide to Rock 'n' Roll '99 , contributed to this article. ~ David S. Cohen , editor-in-chief of Rolling Stone Magazine , is a member of The Rock & Roll Hall of Fame .","['as Korn , Static @-@ X , and System of a Down . A music video for "" Killing Time "" , the second single from Broke , was produced in promotion of the film 3000 Miles to Graceland , which featured the song on its soundtrack .']"
299," Hed PE released their third studio album , Blackout , on March 18 , 2003 . It peaked at No. 33 on the Billboard 200 , while its title track peaked at No. 21 on the Mainstream Rock Tracks chart and at No. 32 on the Modern Rock Tracks chart . Allmusic 's Johnny Loftus wrote that "" While it expands on melodic elements that had previously played a supporting role in the band 's sound , Blackout also delivers truckloads of crushing guitar and pounding rhythm . And whether or not it is the presence of a top @-@ line producer , ( hed ) pe have figured out a way to imbue their aggressive mix of heavy rock and hip @-@ hop with some serious hooks . "" Guitarist Jaxon joined the band in early 2004 . He is the fourth person to fill this position . 
","' s early work , the album is more of the same . "" The album was released on April 1 , 2004 , and was nominated for a Grammy Award for Best Rock Album . The band released a new single in May 2005 , titled "" I Love You "" , which was the first single from their debut album to reach #1 on Billboard . In 2006 , they released the follow up to their previous single , "" My Love "" . They released two more singles in 2007 and 2008 , both of which reached #3 on iTunes .","['\'s sound , Blackout also delivers truckloads of crushing guitar and pounding rhythm . And whether or not it is the presence of a top @-@ line producer , ( hed ) pe have figured out a way to imbue their aggressive mix of heavy rock and hip @-@ hop with some serious hooks . "" Guitarist Jaxon joined the band in early 2004 . He is the fourth person to fill this position .']"
300," = = = Only in Amerika ( 2004 ) = = = 
",is the use of the term,['( 2004 ) = = =']
301," Hed PE left Jive Records , releasing their fourth studio album , Only in Amerika , on Koch Records on October 19 , 2004 . It peaked at No. 20 on the Top Independent Albums chart and at No. 186 on the Billboard 200 . In his review of the album , Johnny Loftus wrote "" It wants to be a confrontational megaphone in the ear of conservatives , but Jahred 's torrential rhetoric is too messy and blatantly offensive to incite anything but superficial anger , and the music -- though occasionally explosive -- takes a backseat to the ranting . "" 
","he wrote , "" The album is one of my favorite albums of all time , and one that I've never heard before . The song 's title is a reference to a poem written by Edgar Allan Poe . Poe wrote the poem in the middle of a storm , where the wind was blowing and the rain was falling . ""","[', Johnny Loftus wrote "" It wants to be a confrontational megaphone in the ear of conservatives , but Jahred \'s torrential rhetoric is too messy and blatantly offensive to incite anything but superficial anger , and the music -- though occasionally explosive -- takes a backseat to the ranting . ""']"
302," = = = Suburban Noize Records and New Album Evolution ( 2006 – 2015 ) = = = 
",s : =  The first album to be released in the U.S.,['Evolution ( 2006 – 2015 ) = = =']
303," In 2006 , Hed PE signed with Suburban Noize Records , recording their fifth studio album , Back 2 Base X. The album was intended as a return to the basics of rock music , and did not rely as heavily on studio enhancement as previous releases . The album was released on June 6 , 2006 , the same day as The Best of ( həd ) Planet Earth , a compilation album produced by Jive Records without the band 's authorization or consent . Back 2 Base X peaked at No. 12 on the Independent Albums chart , and at No. 154 on the Billboard 200 . Allmusic 's Rob Theakston wrote that "" Back 2 Base X suffers from the same problems as Amerika : it tries to be conceptual in thought à la Tool and vicious in its political commentary à la Fugazi or System of a Down , but somehow falls short by sounding like an angry stoner on a soapbox . It won 't win any new fans , but existing fans of ( hed ) pe 's work won 't be turning their backs away from the band in anger anytime soon , either . "" 
","was followed by a number of other releases , including the debut single "" The Way You Are "" , which was the first single from the album to be released in the U.S . and the only single to reach #1 on Billboard's Hot 100 albums chart . In the United States , it reached #3 on both the RIAA and Billboard 200 albums charts , with the latter topping the chart for the second time in its history . It also topped the Billboard Top 200 for a second consecutive year , reaching #4 in 2009 , #5 in 2010 and #6 in 2011 . Hed was nominated for three Grammy Awards and received a Grammy Award nomination for Outstanding Album of the Year in 2006 . He was inducted into the Rock 'n' Roll Hall of Fame in 2008 .","['at No. 154 on the Billboard 200 . Allmusic \'s Rob Theakston wrote that "" Back 2 Base X suffers from the same problems as Amerika : it tries to be conceptual in thought à la Tool and vicious in its political commentary à la Fugazi or System of a Down , but somehow falls short by sounding like an angry stoner on a soapbox . It won \'t win any new fans , but existing fans of ( hed ) pe \'s work won \'t be turning their backs away from the band in anger anytime soon , either . ""']"
304," On June 26 , 2007 , the band released their sixth studio album , Insomnia . It peaked at No. 16 on the Independent Albums chart , and at No. 138 on the Billboard 200 . The album 's lead single , "" Suffa "" , became one of the most requested tracks at Sirius Satellite Radio 's Hard Attack , while the song 's music video was voted one of the Top 10 of 2007 on MTV 's Headbangers Ball . Hed PE released their first live album , The D.I.Y. Guys , in 2008 . On January 13 , 2009 , they released their seventh studio album , New World Orphans . It was released in three different versions ; each contains a different set of bonus tracks . In 2009 , drummer Trauma joined the band . He is the sixth person to fill this position . The band 's eighth studio album , Truth Rising , was released on October 26 , 2010 to mixed reviews . Hed pe played the "" Local Heroes Tour "" in the fall of 2012 and played with Flipsyde in San jose on Sunday October 7 , 2012 . In an interview , frontman Jared Gomes stated that their album for 2013 titled Ascension would be released within the first half of 2014 . Towards the end of 2013 , DJ Product mysteriously left the band with no explanation and no comment from the other members . On 1 / 1 / 2014 , Frontman Jahred Gomes stated on the band 's official Facebook that the new upcoming ( hed ) PE album will be named "" Evolution "" and to be released within the year . 
","only member to have played with them since the beginning of their career , with the rest of his band members also joining him in the studio during their time together . During the same time period , he recorded a number of studio albums , including the first two albums of The New York Dolls , which were released as a single in 2009 and 2010 , respectively .  The band also released two live albums in 2011 and 2012 , as well as two singles , both of which debuted at number one on Billboard 'Songs of 2012 . They released the album in 2013 , along with a new single titled "" I Love You "" and a video for their new song "" You Are My Sunshine "".  In 2014 , Hed Pe released his first solo album as the lead vocalist , a collaboration with fellow singer-songwriter and songwriter Jazzy Jeff , who also worked with him during the time he worked on their debut album.  They also collaborated on a remix of a song from their 2010 album "" The Way We Are "" that was featured at the MTV Video Music Awards , where they were nominated for a Grammy Award for Best Rap Album , Best Original Song and Best Alternative Song , among other awards , but were not nominated in any of those categories .","['sixth person to fill this position . The band \'s eighth studio album , Truth Rising , was released on October 26 , 2010 to mixed reviews . Hed pe played the "" Local Heroes Tour "" in the fall of 2012 and played with Flipsyde in San jose on Sunday October 7 , 2012 . In an interview , frontman Jared Gomes stated that their album for 2013 titled Ascension would be released within the first half of 2014 . Towards the end of 2013 , DJ Product mysteriously left the band with no explanation and no comment from the other members . On 1 / 1 / 2014 , Frontman Jahred Gomes stated on the band \'s official Facebook that the new upcoming ( hed ) PE album will be named "" Evolution "" and to be released within the year .']"
305," On May 13 , 2014 , On the band 's official Facebook page , they released the official announcement of when the band 's new album Evolution will hit stores . The album is set for release July 22 , 2014 . They also released a teaser of the tone of the new album on their Facebook page and soon after , the track "" One More Body "" . 
","to be released on May 15 , 2015 . Evolution is the first single from the album and will be available for pre-order on iTunes , Amazon , and other platforms . It will also be featured on the cover of the upcoming issue of Rolling Stone magazine .","['for release July 22 , 2014 . They also released a teaser of the tone of the new album on their Facebook page and soon after , the track "" One More Body "" .']"
306," In 2015 , it was confirmed that 12 @-@ year guitarist Jaxon Benge and original bassist Mark Young had left the band . They were replaced by guitarist Greg "" Gregzilla "" Harrison and bassist Kurt Blankenship , leaving vocalist and founding member Jared Gomes as the group 's only remaining original talent . 
","the new members of the original band , who were joined by former drummer and guitarist Dave Grohl . The band disbanded in June 2015 .  The following year , they released their first full-length album in 2016 , which was released on the","['guitarist Greg "" Gregzilla "" Harrison and bassist Kurt Blankenship , leaving vocalist and founding member Jared Gomes as the group \'s only remaining original talent .']"
307," = = Style = = 
",= @ =,['Style = =']
308," = = = Music and lyrics = = = 
",and dance =,['and lyrics = = =']
309," Hed PE performs a style of music which they have referred to as "" G @-@ punk "" , a phrase inspired by the term "" G @-@ funk "" , itself a reference to the P @-@ Funk collective . Hed PE 's music is a fusion of styles ranging from hip hop , reggae , and ska to hard rock , punk , and heavy metal . Other elements that have been incorporated into this style include blues , funk , jazz and industrial . Jared Gomes ' vocal style ranges from melodic singing to rapping , screaming , and death growls . The band 's lyrics draw from a number of subjects , including the existence of extraterrestrial life , criticism of organized religion , the 9 / 11 Truth movement , cannabis use and sexual intercourse . 
","influences include rock 'n' roll , jazz , funk , metal , pop music , rock & roll and rock n roll . The band has toured extensively in the United States , Canada , Europe , Australia , New Zealand , South America , the Middle East , Asia , Africa , Latin America and the Caribbean . They have performed at numerous festivals and festivals throughout the world , including the London 2012 Festival of Music , London 2013 Festival , Paris 2014 Festival and London 2015 Festival .","[""elements that have been incorporated into this style include blues , funk , jazz and industrial . Jared Gomes ' vocal style ranges from melodic singing to rapping , screaming , and death growls . The band 's lyrics draw from a number of subjects , including the existence of extraterrestrial life , criticism of organized religion , the 9 / 11 Truth movement , cannabis use and sexual intercourse .""]"
310," Gomes , in addition to the 9 / 11 Truth movement , has expressed support for social liberal politicians such as Nancy Pelosi and president Barack Obama . Previously however , Gomes ' 2004 lyrics for Only in Amerika expressed support for nationalism , and called for retaliation against Al Qaeda for the 9 / 11 terrorist attacks . 
",", he has been a vocal critic of the Democratic Party , and has called for the impeachment of Hillary Clinton for her use of a private email server during her tenure as Secretary of State . He has also been vocal in his opposition to gay marriage .","[""however , Gomes ' 2004 lyrics for Only in Amerika expressed support for nationalism , and called for retaliation against Al Qaeda for the 9 / 11 terrorist attacks .""]"
311," = = = Influences = = = 
",@ @ =,['Influences = = =']
312," The band 's influences include HEM , Beastie Boys , Black Sabbath , Bob Marley , Led Zeppelin , Nine Inch Nails , Snoop Dogg , Cypress Hill , Notorious B.I.G. and Rage Against the Machine . Hed PE 's second album , Broke , incorporated classic rock and world music influences , while Back 2 Base X was influenced by classic punk bands such as the Sex Pistols and the Clash , Insomnia was influenced by thrash metal bands such as Slayer , and New World Orphans was influenced by Suicidal Tendencies and Minor Threat . Guitarist Jaxon has been credited for encouraging a heavier , hardcore punk @-@ influenced musical style . 
",", the band's first full-length , was released in 1991 . The band also released their first single , "" I Love You "" , in 1993 . 
  The album peaked at #1 on the Billboard 200 , and was nominated for three Grammy Awards , including Best Rock Album , Best Album of the Year and Best Rap Album .","['X was influenced by classic punk bands such as the Sex Pistols and the Clash , Insomnia was influenced by thrash metal bands such as Slayer , and New World Orphans was influenced by Suicidal Tendencies and Minor Threat . Guitarist Jaxon has been credited for encouraging a heavier , hardcore punk @-@ influenced musical style .']"
313," = = Band members = = 
",its = =,['members = =']
314," Jared ( Paulo Sergio Gomes ) — lead vocals ( 1994 – current ) 
","@ @-@ 3 , 6 , 7 , 8 ,",['lead vocals ( 1994 – current )']
315," Major Trauma ( Jeremiah Stratton ) — drums ( 2008 – current ) 
",was a member of the New York City Police Department from,['— drums ( 2008 – current )']
316," Gregzilla ( Greg Harrison ) — guitar ( 2015 – current ) 
","@ @-@ 2 ,@ 3 , @@",['guitar ( 2015 – current )']
317," Kid Bass ( Kurt Blankenship ) — bass ( 2015 – current ) 
",", who plays the lead role in the film , is",['— bass ( 2015 – current )']
318," = = = Former members = = = 
",U.S. Senator =,['members = = =']
319," Ken Sachs ( The Finger ) — keyboard ( 1994 – 1996 ) 
",", who wrote the screenplay for the film , said that he was",['— keyboard ( 1994 – 1996 )']
320," Chad Benekos ( Chizad ) — guitar ( 1994 – 2002 ) 
",who was born in the city of,['guitar ( 1994 – 2002 )']
321," Wesley Geer ( Wesstyle , Wes Geer ) — guitar ( 1994 – 2003 ) 
",) is an American actor and producer who has worked with,[') — guitar ( 1994 – 2003 )']
322," Ben C. Vaught ( B.C. ) — drums ( 1994 – 2003 ) 
",was born in the province of British Columbia,['— drums ( 1994 – 2003 )']
323," Doug Boyce ( DJ Product © 1969 ) — turntables , samples ( 1994 – 2013 ) 
",was the first DJ to record a live album in the United States .,"['— turntables , samples ( 1994 – 2013 )']"
324," Mark Young ( Mawk ) — bass ( 1994 – 2015 ) 
",who played the lead role in the first episode of the,['bass ( 1994 – 2015 )']
325," Sonny Mayo — guitar ( 2002 – 2003 ) 
",", bass , drums , vocals , percussion",['( 2002 – 2003 )']
326," Jackson Benge ( Jaxon ) — guitar ( 2004 – 2015 ) 
",who was born in the United States and raised,['guitar ( 2004 – 2015 )']
327," Christopher Hendrich — drums ( 2004 ) 
",who was born and raised in,['drums ( 2004 )']
328," Mark "" Moke "" Bistany — drums ( 2004 – 2006 ) 
",who played the lead role in the film —,['drums ( 2004 – 2006 )']
329," Devin Lebsack — drums ( 2006 – 2007 ) 
",", vocals , guitar , bass",['( 2006 – 2007 )']
330," Anthony "" Tiny Bubz "" Biuso — drums ( 2007 – 2008 ) 
",was born in the United States and raised in a,['— drums ( 2007 – 2008 )']
331," = = = Timeline = = = 
",@-@ =,['Timeline = = =']
332," = = Discography = = 
",=,['Discography = =']
333," Studio albums 
",,['albums']
334," Church of Realities ( 1995 ) 
",was founded in 1868,['( 1995 )']
335," Hed PE ( 1997 ) 
",", et al .",['( 1997 )']
336," Broke ( 2000 ) 
",@-@,['2000 )']
337," Blackout ( 2003 ) 
",,['2003 )']
338," Only in Amerika ( 2004 ) 
",", there is a strong",['( 2004 )']
339," Back 2 Base X ( 2006 ) 
",Camps :,['X ( 2006 )']
340," Insomnia ( 2007 ) 
",,['2007 )']
341," New World Orphans ( 2009 ) 
",,['( 2009 )']
342," Truth Rising ( 2010 ) 
",'s first single ',['( 2010 )']
343," Evolution ( 2014 ) 
",,['2014 )']
344," Forever ! ( 2016 ) 
",!,['( 2016 )']
345," = Ironclad warship = 
",@-@,['warship =']
346," An ironclad is a steam @-@ propelled warship protected by iron or steel armor plates used in the early part of the second half of the 19th century . The ironclad was developed as a result of the vulnerability of wooden warships to explosive or incendiary shells . The first ironclad battleship , Gloire , was launched by the French Navy in November 1859 . The British Admiralty had been considering armored warships since 1856 and prepared a draft design for an armored corvette in 1857 ; in early 1859 the Royal Navy started building two iron @-@ hulled armored frigates , and by 1861 had made the decision to move to an all @-@ armored battle fleet . After the first clashes of ironclads ( both with wooden ships and with one another ) took place in 1862 during the American Civil War , it became clear that the ironclad had replaced the unarmored ship of the line as the most powerful warship afloat . This type of ship would come to be very successful in the American Civil War . 
","design was submitted to the Royal Navy for design consideration . By the end of that year , however , the British Navy had no plans to develop a new type of corvettes , and the idea was shelved until 1864 , when it was decided that the new design would be better suited to naval warfare . In 1866 , a British naval officer proposed a design that would have a steel hull and a reinforced hull , but the proposal was rejected . A second design , which was proposed by a French naval engineer , became the basis for the first British-designed naval cruiser in World War I . It was commissioned in May 1867 , with the intention of replacing the original design with a more modern design .","['Royal Navy started building two iron @-@ hulled armored frigates , and by 1861 had made the decision to move to an all @-@ armored battle fleet . After the first clashes of ironclads ( both with wooden ships and with one another ) took place in 1862 during the American Civil War , it became clear that the ironclad had replaced the unarmored ship of the line as the most powerful warship afloat . This type of ship would come to be very successful in the American Civil War .']"
347," Ironclads were designed for several roles , including as high seas battleships , coastal defense ships , and long @-@ range cruisers . The rapid evolution of warship design in the late 19th century transformed the ironclad from a wooden @-@ hulled vessel that carried sails to supplement its steam engines into the steel @-@ built , turreted battleships and cruisers familiar in the 20th century . This change was pushed forward by the development of heavier naval guns ( the ironclads of the 1880s carried some of the heaviest guns ever mounted at sea ) , more sophisticated steam engines , and advances in metallurgy which made steel shipbuilding possible . 
","battleship . By the end of the 19 th century , the Ironclad had become the most powerful ship in naval history . It was the first of its kind to be used in a naval battle . In the early 20th Century , it was used as a battlecruiser , as well as as an amphibious assault ship .","[', turreted battleships and cruisers familiar in the 20th century . This change was pushed forward by the development of heavier naval guns ( the ironclads of the 1880s carried some of the heaviest guns ever mounted at sea ) , more sophisticated steam engines , and advances in metallurgy which made steel shipbuilding possible .']"
348," The quick pace of change meant that many ships were obsolete as soon as they were finished , and that naval tactics were in a state of flux . Many ironclads were built to make use of the ram or the torpedo , which a number of naval designers considered the important weapons of naval combat . There is no clear end to the ironclad period , but towards the end of the 1890s the term ironclad dropped out of use . New ships were increasingly constructed to a standard pattern and designated battleships or armored cruisers . 
","thought would be a better option than the more expensive torpedoes . By the mid-19th century , however , these designs had fallen out of favor and were replaced by more modern designs . In the late 19th and early 20th centuries , the United States Navy and the Navy of Great Britain and Northern Ireland (later the British Navy ) began to develop their own torpedo designs , with the first of these being developed in the early 1930s .","['considered the important weapons of naval combat . There is no clear end to the ironclad period , but towards the end of the 1890s the term ironclad dropped out of use . New ships were increasingly constructed to a standard pattern and designated battleships or armored cruisers .']"
349," = = The ironclad = = 
",first stage of the second stage,['ironclad = =']
